,Software_Developer,Database_Administrator,Systems_Administrator,Project_manager,Web_Developer,Network_Administrator,Security_Analyst,Python_Developer,Java_Developer,Front_End_Developer
0,0.021233315,0.007933399,0.99743456,0.16897467,0.0019115837,0.21910934,0.006911869,0.00015389397,7.294137e-05,0.0026585208
1,0.004552331,0.00731677,0.011061947,0.0061130626,0.0012643136,0.0041703135,0.49746552,0.00022849708,0.0005151316,7.087759e-05
2,0.0030299646,0.028074764,0.10036177,0.007922077,0.0011150255,0.018589746,0.054711774,0.0001028269,0.00018082694,0.00019102563
3,0.01478524,0.004745524,0.99585366,0.3435155,0.0018998438,0.19554792,0.011853925,0.00015984851,2.9881345e-05,0.0017488577
4,0.75618887,0.0041893017,0.108431794,0.97651446,0.13709645,0.27881643,0.6582017,0.022670193,0.0059893536,0.00062692905
5,0.99749714,0.0032449977,0.0072204345,0.008196034,0.12429939,0.0023107578,0.0025807777,0.93853587,0.72600317,0.01822671
6,0.0213348,0.005346759,0.031694878,0.9889832,0.0020355026,0.02159915,0.0077373213,0.0009827558,3.449851e-06,0.0011453301
7,0.035487253,0.0075545167,0.117057584,0.8898224,0.0035054518,0.9559165,0.02558375,0.0017934333,5.1339495e-05,0.00034948607
8,0.9912873,0.0023322394,0.0038102383,0.008478634,0.026099341,0.00011940634,5.3571475e-05,0.0014504595,0.0034875995,0.9790068
9,0.9969543,0.001261652,0.0023630452,0.00401852,0.9907238,0.0011946777,4.771717e-05,0.0019999288,0.006699168,0.050425656
10,0.011492467,0.9930656,0.009073266,0.008107833,0.0038541956,0.0011472852,0.0019917295,0.00024079735,0.001360093,0.0009974783
11,0.99456185,0.0020480568,0.0068632644,0.0031869675,0.02033117,0.0017833096,0.008479645,0.0026965071,0.6006946,0.00085865223
12,0.9985953,0.0025505666,0.0026961837,0.002324706,0.9877087,0.0011763804,7.523651e-05,0.0026722802,0.05239002,0.016879594
13,0.99623173,0.0021500108,0.06664626,0.020459315,0.9552677,0.0009824553,1.4415198e-05,0.0031166452,0.00638201,0.9902304
14,0.99635255,0.00088918704,0.0031093943,0.0047686934,0.042467598,0.002637572,0.0014881685,0.9896778,0.007840539,0.007014658
15,0.01732876,0.0014995736,0.06860576,0.027099326,0.005600354,0.19399141,0.98690295,0.0019948815,0.006198953,2.5151001e-05
16,0.005287424,0.001760086,0.07099152,0.023591327,0.0011095263,0.95231193,0.043264292,0.0003625035,0.00021732341,7.279169e-05
17,0.062421754,0.0050712265,0.054461826,0.8160215,0.013967027,0.05376202,0.96246964,0.0026013425,0.001415413,9.434163e-05
18,0.9955415,0.00097393163,0.005855057,0.008834001,0.02123167,0.0040231277,0.0018640574,0.9892491,0.0039726715,0.00470552
19,0.9734837,0.0037341411,0.0068826396,0.007287328,0.49381998,0.00053136353,0.00026503718,0.0013912421,0.00076345995,0.015999505
20,0.010283607,0.9908693,0.015400146,0.004525589,0.0026154995,0.0021006765,0.005817601,0.000549716,0.0021189565,0.0005509455
21,0.99734807,0.00489985,0.016901305,0.02200273,0.048609246,0.0017064639,0.0011673578,0.023026561,0.025597146,0.0050851754
22,0.9985763,0.0013226186,0.00218308,0.0024162636,0.90245926,0.0016083501,0.000768349,0.0013152993,0.966509,0.013095257
23,0.073740914,0.008534015,0.99529415,0.019727478,0.003406471,0.015151534,0.0064434647,0.00018744625,0.00045000747,0.004798094
24,0.9984238,0.0029911874,0.010843808,0.012615585,0.046976734,0.0014718006,0.0002769666,0.44258344,0.00089835783,0.007355962
25,0.992262,0.0037168176,0.07734623,0.008894192,0.25719285,0.03434595,0.0073060454,0.0009374173,0.97593623,0.0027626362
26,0.9948041,0.00190308,0.0024892138,0.0051686796,0.9895433,0.0023316303,0.00010574451,0.001950317,0.007053572,0.01352644
27,0.9947279,0.002386259,0.0037535501,0.0065106847,0.98820543,0.0022505932,0.000106056854,0.0019658494,0.0045204507,0.013156915
